Fecha,Anio,Mes,Linea,Afluencia
05/11/2007,2007,11,Linea 1,252030
06/11/2007,2007,11,Linea 1,265522
07/11/2007,2007,11,Linea 1,266942
09/11/2007,2007,11,Linea 1,275893
11/11/2007,2007,11,Linea 1,78312
12/11/2007,2007,11,Linea 1,260058
15/11/2007,2007,11,Linea 1,273324
18/11/2007,2007,11,Linea 1,82553
21/11/2007,2007,11,Linea 1,279321
23/11/2007,2007,11,Linea 1,283180
24/11/2007,2007,11,Linea 1,151649
26/11/2007,2007,11,Linea 1,255965
28/11/2007,2007,11,Linea 1,265222
29/11/2007,2007,11,Linea 1,273597
02/12/2007,2007,12,Linea 1,90513
04/12/2007,2007,12,Linea 1,268369
08/12/2007,2007,12,Linea 1,142148
13/12/2007,2007,12,Linea 1,262916
14/12/2007,2007,12,Linea 1,281821
18/12/2007,2007,12,Linea 1,261612
20/12/2007,2007,12,Linea 1,242320
21/12/2007,2007,12,Linea 1,248055
26/12/2007,2007,12,Linea 1,166983
31/12/2007,2007,12,Linea 1,100715
01/01/2008,2008,1,Linea 1,46106
02/01/2008,2008,1,Linea 1,176553
06/01/2008,2008,1,Linea 1,71279
07/01/2008,2008,1,Linea 1,238831
09/01/2008,2008,1,Linea 1,247795
11/01/2008,2008,1,Linea 1,248624
16/01/2008,2008,1,Linea 1,256853
18/01/2008,2008,1,Linea 1,261980
20/01/2008,2008,1,Linea 1,70919
28/01/2008,2008,1,Linea 1,251506
30/01/2008,2008,1,Linea 1,261245
06/02/2008,2008,2,Linea 1,263689
09/02/2008,2008,2,Linea 1,140714
10/02/2008,2008,2,Linea 1,76535
12/02/2008,2008,2,Linea 1,263418
14/02/2008,2008,2,Linea 1,264975
17/02/2008,2008,2,Linea 1,84023
18/02/2008,2008,2,Linea 1,258941
20/02/2008,2008,2,Linea 1,266762
25/02/2008,2008,2,Linea 1,256815
26/02/2008,2008,2,Linea 1,264829
07/03/2008,2008,3,Linea 1,273039
09/03/2008,2008,3,Linea 1,84152
11/03/2008,2008,3,Linea 1,267025
13/03/2008,2008,3,Linea 1,306728
15/03/2008,2008,3,Linea 1,187387
19/03/2008,2008,3,Linea 1,237078
23/03/2008,2008,3,Linea 1,83539
25/03/2008,2008,3,Linea 1,291176
27/03/2008,2008,3,Linea 1,293648
28/03/2008,2008,3,Linea 1,308365
10/04/2008,2008,4,Linea 1,313758
11/04/2008,2008,4,Linea 1,324632
13/04/2008,2008,4,Linea 1,105048
21/04/2008,2008,4,Linea 1,309348
25/04/2008,2008,4,Linea 1,322962
26/04/2008,2008,4,Linea 1,175391
28/04/2008,2008,4,Linea 1,301132
01/05/2008,2008,5,Linea 1,137186
09/05/2008,2008,5,Linea 1,312280
14/05/2008,2008,5,Linea 1,313229
19/05/2008,2008,5,Linea 1,294456
25/05/2008,2008,5,Linea 1,96365
26/05/2008,2008,5,Linea 1,295649
29/05/2008,2008,5,Linea 1,318644
06/06/2008,2008,6,Linea 1,316566
13/06/2008,2008,6,Linea 1,331507
18/06/2008,2008,6,Linea 1,312313
23/06/2008,2008,6,Linea 1,289920
25/06/2008,2008,6,Linea 1,305914
28/06/2008,2008,6,Linea 1,170497
05/07/2008,2008,7,Linea 1,158899
07/07/2008,2008,7,Linea 1,281060
08/07/2008,2008,7,Linea 1,286098
10/07/2008,2008,7,Linea 1,299546
12/07/2008,2008,7,Linea 1,157237
16/07/2008,2008,7,Linea 1,305893
18/07/2008,2008,7,Linea 1,300975
19/07/2008,2008,7,Linea 1,160800
21/07/2008,2008,7,Linea 1,278286
23/07/2008,2008,7,Linea 1,282899
27/07/2008,2008,7,Linea 1,94768
03/08/2008,2008,8,Linea 1,92953
06/08/2008,2008,8,Linea 1,308158
09/08/2008,2008,8,Linea 1,175655
14/08/2008,2008,8,Linea 1,306877
20/08/2008,2008,8,Linea 1,322381
21/08/2008,2008,8,Linea 1,311274
22/08/2008,2008,8,Linea 1,325988
24/08/2008,2008,8,Linea 1,89787
27/08/2008,2008,8,Linea 1,323776
02/09/2008,2008,9,Linea 1,313563
03/09/2008,2008,9,Linea 1,308966
07/09/2008,2008,9,Linea 1,87050
08/09/2008,2008,9,Linea 1,300464
10/09/2008,2008,9,Linea 1,310286
14/09/2008,2008,9,Linea 1,79685
16/09/2008,2008,9,Linea 1,74860
17/09/2008,2008,9,Linea 1,300902
24/09/2008,2008,9,Linea 1,314402
25/09/2008,2008,9,Linea 1,309056
26/09/2008,2008,9,Linea 1,328618
28/09/2008,2008,9,Linea 1,97085
08/10/2008,2008,10,Linea 1,308108
09/10/2008,2008,10,Linea 1,316684
10/10/2008,2008,10,Linea 1,326491
11/10/2008,2008,10,Linea 1,170771
12/10/2008,2008,10,Linea 1,93083
16/10/2008,2008,10,Linea 1,320353
18/10/2008,2008,10,Linea 1,180362
22/10/2008,2008,10,Linea 1,311057
23/10/2008,2008,10,Linea 1,308648
24/10/2008,2008,10,Linea 1,324992
27/10/2008,2008,10,Linea 1,301912
30/10/2008,2008,10,Linea 1,324764
04/11/2008,2008,11,Linea 1,310008
06/11/2008,2008,11,Linea 1,313539
07/11/2008,2008,11,Linea 1,329788
15/11/2008,2008,11,Linea 1,170560
22/11/2008,2008,11,Linea 1,180249
26/11/2008,2008,11,Linea 1,320636
27/11/2008,2008,11,Linea 1,322486
29/11/2008,2008,11,Linea 1,182082
02/12/2008,2008,12,Linea 1,319284
07/12/2008,2008,12,Linea 1,100078
14/12/2008,2008,12,Linea 1,103493
16/12/2008,2008,12,Linea 1,315296
17/12/2008,2008,12,Linea 1,312725
18/12/2008,2008,12,Linea 1,305147
20/12/2008,2008,12,Linea 1,175840
23/12/2008,2008,12,Linea 1,245781
29/12/2008,2008,12,Linea 1,196801
02/01/2009,2009,1,Linea 1,172199
05/01/2009,2009,1,Linea 1,262385
15/01/2009,2009,1,Linea 1,302251
17/01/2009,2009,1,Linea 1,157328
19/01/2009,2009,1,Linea 1,299246
20/01/2009,2009,1,Linea 1,303013
21/01/2009,2009,1,Linea 1,305557
25/01/2009,2009,1,Linea 1,98066
26/01/2009,2009,1,Linea 1,302518
30/01/2009,2009,1,Linea 1,346115
01/02/2009,2009,2,Linea 1,93713
03/02/2009,2009,2,Linea 1,312640
04/02/2009,2009,2,Linea 1,314240
05/02/2009,2009,2,Linea 1,317089
06/02/2009,2009,2,Linea 1,335681
07/02/2009,2009,2,Linea 1,172455
08/02/2009,2009,2,Linea 1,95142
15/02/2009,2009,2,Linea 1,100481
16/02/2009,2009,2,Linea 1,320324
18/02/2009,2009,2,Linea 1,333313
19/02/2009,2009,2,Linea 1,327772
23/02/2009,2009,2,Linea 1,319069
27/02/2009,2009,2,Linea 1,341345
28/02/2009,2009,2,Linea 1,225084
01/03/2009,2009,3,Linea 1,106989
04/03/2009,2009,3,Linea 1,345595
08/03/2009,2009,3,Linea 1,106452
09/03/2009,2009,3,Linea 1,319651
12/03/2009,2009,3,Linea 1,332302
14/03/2009,2009,3,Linea 1,188282
