Dia de la semana,Dia,Mes,Anio,Contador Ruta Reforma222,Contador Ruta Revolucion,Contador Ruta Patriotismo
martes,22,11,2016,276,869,1056
lunes,21,11,2016,1192,511,525
domingo,30,9,2018,1574,626,1697
jueves,27,9,2018,3261,880,678
viernes,9,11,2018,3857,655,1222
jueves,4,10,2018,288,948,1404
jueves,6,7,2017,4899,991,1107
viernes,11,8,2017,,905,1006
domingo,6,8,2017,,620,552
lunes,7,8,2017,,974,104
jueves,21,11,2013,2215,,
domingo,1,12,2013,957,,
martes,10,12,2013,264,,
lunes,23,12,2013,1502,,
jueves,15,2,2018,3375,1229,1313
jueves,8,3,2018,3404,5926,1351
viernes,9,3,2018,2787,4004,1176
sabado,24,3,2018,1746,703,844
lunes,2,4,2018,2937,996,1106
domingo,15,4,2018,1251,661,589
domingo,29,4,2018,1396,554,791
viernes,1,6,2018,2968,1052,1193
domingo,8,7,2018,1058,548,509
jueves,12,7,2018,3015,905,1095
viernes,20,7,2018,2659,851,970
sabado,4,8,2018,1327,522,516
miercoles,15,8,2018,2165,832,
lunes,17,9,2018,2663,872,1061
domingo,23,9,2018,1291,518,612
miercoles,3,10,2018,3482,1067,1273
viernes,12,10,2018,3424,1011,1231
sabado,20,10,2018,2085,472,642
martes,23,10,2018,3811,1098,1357
jueves,25,10,2018,3868,992,1282
miercoles,31,10,2018,3465,903,1225
sabado,24,11,2018,1907,639,696
domingo,9,12,2018,1505,358,579
lunes,10,12,2018,3459,814,1159
jueves,13,12,2018,3635,722,1136
viernes,13,6,2014,2439,,
miercoles,10,9,2014,2272,,
domingo,14,9,2014,997,,
jueves,11,9,2014,2198,,
viernes,5,9,2014,2289,,
sabado,30,8,2014,1355,,
domingo,24,8,2014,1136,,
viernes,22,8,2014,2427,,
sabado,19,7,2014,1392,,
sabado,26,7,2014,1629,,
jueves,7,8,2014,2237,,
lunes,28,7,2014,1638,,
lunes,4,8,2014,2187,,
domingo,2,3,2014,1145,,
viernes,2,5,2014,2358,,
martes,4,3,2014,2776,,
lunes,19,5,2014,2514,,
miercoles,6,4,2016,3052,,
sabado,26,3,2016,1155,,
lunes,28,3,2016,2562,,
viernes,10,5,2019,3246,965,1141
martes,14,5,2019,3697,1058,1293
domingo,19,5,2019,1680,549,540
viernes,31,5,2019,3606,1012,1232
miercoles,26,2,2014,2819,,
miercoles,29,1,2014,2579,,
domingo,23,2,2014,1628,,
viernes,14,2,2014,2683,,
viernes,7,2,2014,2562,,
lunes,24,2,2014,2629,,
sabado,1,3,2014,1502,,
martes,23,9,2014,2288,,
lunes,13,10,2014,2393,,
lunes,23,5,2016,2364,,
martes,7,6,2016,2706,,
jueves,9,6,2016,2811,,
domingo,3,7,2016,1074,474,579
lunes,11,7,2016,2315,616,731
jueves,14,7,2016,2739,819,851
martes,26,7,2016,2625,821,791
viernes,19,8,2016,2261,722,866
martes,30,8,2016,2925,884,1032
jueves,1,9,2016,2978,919,966
jueves,8,9,2016,299,932,997
viernes,16,9,2016,810,346,414
lunes,19,9,2016,2807,837,927
domingo,25,9,2016,1143,760,178
domingo,2,10,2016,1204,520,475
sabado,8,10,2016,1442,608,577
lunes,10,10,2016,2623,931,921
sabado,22,10,2016,1486,619,585
martes,25,10,2016,2998,1002,1148
sabado,29,10,2016,2708,819,1059
martes,1,11,2016,2583,860,1016
jueves,15,12,2016,225,784,1009
viernes,6,1,2017,2435,869,939
domingo,22,1,2017,1192,570,584
martes,28,2,2017,3238,1127,1323
jueves,2,3,2017,3201,118,1359
lunes,10,4,2017,2593,895,894
martes,11,4,2017,2569,931,849
jueves,13,4,2017,1464,530,384
jueves,8,6,2017,3016,1012,1213
jueves,15,6,2017,3002,1069,2914
miercoles,28,6,2017,2236,788,2776
sabado,1,7,2017,1327,556,913
sabado,29,7,2017,,626,504
jueves,24,8,2017,,104,607
martes,29,8,2017,,773,
miercoles,30,8,2017,,711,
lunes,4,9,2017,,794,
sabado,23,9,2017,,,648
domingo,24,9,2017,,,780
domingo,15,10,2017,,,473
lunes,6,11,2017,332,,1197
lunes,13,11,2017,3289,1039,1235
martes,21,11,2017,3175,1149,1326
viernes,24,11,2017,322,1075,1214
jueves,30,11,2017,3499,1023,1233
sabado,16,12,2017,1377,634,486
sabado,26,12,2015,939,,
sabado,16,1,2016,1265,,
lunes,4,1,2016,161,,
