Dia de la semana,Dia,Mes,Anio,Contador Ruta Reforma222,Contador Ruta Revolucion,Contador Ruta Patriotismo
domingo,17,7,2016,988,413,457
martes,2,8,2016,2262,688,733
martes,5,7,2016,2574,747,801
sabado,2,7,2016,1205,438,429
jueves,23,6,2016,2802,841,956
martes,31,5,2016,2647,,
martes,8,12,2015,2506,,
domingo,10,1,2016,107,,
jueves,14,1,2016,2557,,
martes,5,1,2016,2327,,
martes,19,4,2016,2397,,
sabado,14,5,2016,1407,,
martes,10,5,2016,2457,,
lunes,25,4,2016,2775,,
lunes,2,5,2016,2729,,
viernes,15,4,2016,2968,,
lunes,11,4,2016,2926,,
martes,23,2,2016,2709,,
martes,16,2,2016,2427,,
jueves,28,1,2016,2681,,
miercoles,31,8,2016,2976,972,103
domingo,28,8,2016,1149,531,913
viernes,20,1,2017,2917,1035,1169
jueves,1,6,2017,2937,1002,1245
miercoles,6,12,2017,335,1152,1288
viernes,10,3,2017,2787,926,1152
domingo,12,3,2017,956,473,529
jueves,30,3,2017,3303,1135,1161
sabado,1,4,2017,1565,650,543
lunes,17,4,2017,2323,840,657
jueves,6,4,2017,2765,929,899
lunes,6,3,2017,2992,1093,1199
jueves,17,8,2017,,921,967
sabado,5,8,2017,,672,572
lunes,14,8,2017,,916,1046
miercoles,27,9,2017,,,859
miercoles,6,9,2017,,802,
jueves,21,12,2017,2767,948,974
jueves,4,1,2018,,936,938
miercoles,7,9,2016,2931,840,990
miercoles,19,10,2016,2933,1018,1105
martes,11,10,2016,2759,969,1086
miercoles,7,12,2016,3034,978,1119
viernes,18,11,2016,2776,891,101
sabado,5,11,2016,1523,623,626
martes,29,11,2016,2941,959,1105
martes,20,12,2016,264,856,943
domingo,4,12,2016,964,473,438
jueves,1,12,2016,284,930,1074
sabado,27,1,2018,,629,574
jueves,25,1,2018,,974,1072
martes,20,2,2018,3536,4471,1352
jueves,22,2,2018,3191,1163,1368
lunes,26,2,2018,2997,5203,1273
miercoles,25,4,2018,326,1037,1333
miercoles,18,4,2018,3261,1191,1347
viernes,13,4,2018,3014,1094,1256
jueves,26,4,2018,3224,1068,1263
jueves,12,4,2018,3093,979,1196
jueves,5,4,2018,2748,943,114
martes,4,12,2018,3461,985,1206
lunes,3,12,2018,3583,845,1209
domingo,17,11,2013,1084,,
lunes,2,12,2013,2211,,
sabado,14,7,2018,1395,594,554
martes,26,6,2018,2404,733,868
lunes,18,6,2018,1793,691,809
lunes,4,6,2018,3262,1085,1312
miercoles,9,5,2018,3213,1083,1267
sabado,12,5,2018,152,630,623
viernes,4,5,2018,2745,759,1198
miercoles,17,10,2018,3309,1012,1333
jueves,18,10,2018,353,963,1324
viernes,14,9,2018,3071,820,1125
jueves,20,9,2018,34,1002,1372
sabado,25,8,2018,1534,590,
jueves,16,8,2018,2841,868,
miercoles,10,7,2019,3340,796,1172
jueves,18,7,2019,2998,707,1119
sabado,27,7,2019,2039,545,649
miercoles,5,6,2019,3076,952,1211
sabado,15,6,2019,2165,562,677
martes,18,6,2019,3617,1085,1345
domingo,9,6,2019,1909,655,645
lunes,10,6,2019,3788,1031,1339
jueves,27,6,2019,3881,800,1245
miercoles,11,12,2013,2583,,
viernes,29,11,2013,2259,,
miercoles,18,12,2013,2282,,
sabado,25,1,2014,1346,,
sabado,4,1,2014,113,,
martes,14,1,2014,243,,
miercoles,27,8,2014,272,,
jueves,25,9,2014,2782,,
domingo,31,8,2014,1199,,
miercoles,18,3,2015,2876,,
domingo,29,3,2015,1357,,
lunes,29,9,2014,1878,,
jueves,30,10,2014,2799,,
lunes,20,10,2014,1848,,
miercoles,7,5,2014,2331,,
viernes,6,6,2014,2182,,
sabado,20,12,2014,1209,,
sabado,3,1,2015,1114,,
miercoles,26,3,2014,2868,,
sabado,19,4,2014,2266,,
domingo,9,3,2014,1277,,
martes,22,4,2014,2244,,
miercoles,4,2,2015,2896,,
miercoles,28,1,2015,2928,,
lunes,23,2,2015,2655,,
viernes,8,8,2014,2052,,
lunes,18,8,2014,1589,,
jueves,26,6,2014,1881,,
martes,24,6,2014,1537,,
sabado,11,4,2015,1375,,
lunes,6,4,2015,2647,,
sabado,6,8,2016,961,438,396
martes,14,6,2016,2884,333,256
martes,9,8,2016,26,729,695
lunes,8,8,2016,228,625,614
lunes,4,7,2016,2652,825,824
jueves,25,2,2016,3465,,
martes,12,4,2016,3048,,
sabado,2,4,2016,1331,,
jueves,24,3,2016,1414,,
martes,29,3,2016,2755,,
viernes,6,5,2016,276,,
martes,29,9,2015,2064,,
sabado,19,12,2015,1152,,
miercoles,13,1,2016,164,,
lunes,11,1,2016,2531,,
miercoles,11,11,2015,3045,,
miercoles,18,11,2015,2906,,
miercoles,4,11,2015,268,,
miercoles,28,10,2015,2184,,
jueves,22,10,2015,286,,
miercoles,9,12,2015,2699,,
domingo,29,11,2015,1141,,
viernes,27,11,2015,2752,,
viernes,4,12,2015,2032,,
sabado,13,2,2016,1203,,
viernes,19,2,2016,2646,,
martes,2,2,2016,2586,,
jueves,21,1,2016,2618,,
miercoles,26,8,2015,2788,,
jueves,27,8,2015,2871,,
martes,25,8,2015,2711,,
viernes,26,6,2015,2184,,
lunes,29,6,2015,2231,,
domingo,17,5,2015,1043,,
domingo,24,5,2015,925,,
lunes,20,4,2015,2925,,
sabado,10,9,2016,158,572,586
martes,20,9,2016,3001,887,1004
viernes,26,8,2016,2506,714,789
jueves,25,8,2016,2613,753,840
martes,12,2,2019,4073,1027,1436
sabado,23,2,2019,2117,452,924
viernes,15,3,2019,3957,984,1326
miercoles,20,3,2019,4070,1062,1375
domingo,7,4,2019,1922,569,607
jueves,11,4,2019,4157,1138,1484
lunes,15,4,2019,3554,998,1154
jueves,18,4,2019,2289,613,629
sabado,20,4,2019,2084,447,510
miercoles,12,10,2016,2644,882,1001
domingo,13,11,2016,1173,504,420
sabado,15,10,2016,1486,609,572
jueves,27,10,2016,2922,865,105
miercoles,28,2,2018,3535,1252,1368
domingo,25,2,2018,1452,2922,750
jueves,8,2,2018,3199,11,1269
miercoles,18,7,2018,3071,972,1188
sabado,30,6,2018,1478,590,613
domingo,10,6,2018,1379,603,704
martes,24,7,2018,3131,991,113
domingo,25,3,2018,1477,509,750
viernes,20,4,2018,3328,1228,1304
viernes,23,3,2018,3221,964,1271
lunes,23,4,2018,2835,104,1213
lunes,16,4,2018,3078,1094,1388
miercoles,1,8,2018,3139,915,1171
lunes,13,8,2018,,720,
domingo,31,12,2017,,415,572
miercoles,31,1,2018,,1059,1065
lunes,15,1,2018,,1005,1119
miercoles,12,12,2018,3084,822,1109
lunes,17,12,2018,3385,764,1023
viernes,3,2,2017,3019,1135,1148
domingo,5,3,2017,1214,504,534
lunes,27,3,2017,2914,105,1221
domingo,16,4,2017,1088,522,544
domingo,23,4,2017,1185,613,620
miercoles,14,6,2017,2498,890,199
miercoles,24,5,2017,3139,1077,1257
miercoles,5,7,2017,2642,928,1027
martes,20,6,2017,314,1142,1392
lunes,12,6,2017,293,1054,13
lunes,3,7,2017,235,863,3384
domingo,20,8,2017,,547,647
miercoles,25,10,2017,,,1174
viernes,1,9,2017,,732,
domingo,27,8,2017,,580,
miercoles,14,11,2018,198,434,544
lunes,26,11,2018,3676,864,1232
miercoles,21,12,2016,2511,882,949
viernes,23,12,2016,2083,739,745
sabado,24,12,2016,810,455,336
lunes,26,12,2016,1834,562,571
miercoles,7,11,2018,3816,843,1256
jueves,13,9,2018,2779,818,903
viernes,26,10,2018,356,992,1171
miercoles,19,7,2017,,1017,1061
viernes,21,7,2017,,878,963
jueves,20,7,2017,,959,1081
domingo,7,7,2019,1862,507,633
martes,23,7,2019,3269,778,1189
martes,2,7,2019,3553,729,1219
martes,25,6,2019,3589,856,1203
sabado,8,6,2019,2151,594,668
miercoles,27,11,2013,2383,,
viernes,27,12,2013,134,,
jueves,28,11,2013,2478,,
sabado,20,1,2018,,651,578
viernes,23,2,2018,3285,1141,1341
domingo,4,3,2018,1357,633,645
lunes,5,3,2018,3077,2616,1318
miercoles,7,3,2018,3074,2605,1423
martes,10,4,2018,2879,1081,1334
lunes,30,4,2018,2557,692,1034
martes,29,5,2018,3413,1152,131
jueves,31,5,2018,3189,1143,1356
miercoles,6,6,2018,3291,1175,1322
lunes,11,6,2018,2795,1023,1173
lunes,23,7,2018,2966,1005,1123
miercoles,25,7,2018,3028,962,1147
martes,7,8,2018,,893,
miercoles,8,8,2018,,973,
domingo,26,8,2018,1772,563,
viernes,31,8,2018,2901,812,
domingo,11,11,2018,1769,406,681
viernes,7,12,2018,3525,704,1158
sabado,28,6,2014,937,,
sabado,31,5,2014,1115,,
jueves,12,6,2014,2542,,
lunes,23,6,2014,1491,,
sabado,13,9,2014,1322,,
miercoles,20,8,2014,2309,,
domingo,3,8,2014,1256,,
jueves,21,8,2014,2431,,
miercoles,12,3,2014,2815,,
domingo,13,4,2014,1316,,
martes,13,5,2014,2199,,
jueves,21,4,2016,2482,,
martes,5,4,2016,298,,
miercoles,1,5,2019,1966,635,739
sabado,11,5,2019,2079,659,687
domingo,9,11,2014,1202,,
jueves,13,11,2014,2774,,
domingo,19,10,2014,938,,
sabado,25,10,2014,1436,,
jueves,16,10,2014,2423,,
martes,3,5,2016,2831,,
jueves,12,5,2016,2531,,
lunes,16,5,2016,2636,,
domingo,22,5,2016,1112,,
viernes,10,6,2016,2556,,
jueves,30,6,2016,245,726,741
sabado,9,7,2016,1487,550,488
lunes,18,7,2016,2165,671,705
domingo,7,8,2016,1024,419,388
viernes,12,8,2016,2406,770,840
lunes,22,8,2016,2684,842,893
domingo,9,10,2016,812,341,355
jueves,13,10,2016,2907,893,1137
martes,8,11,2016,194,780,918
miercoles,9,11,2016,1967,662,633
sabado,12,11,2016,1486,511,513
jueves,8,12,2016,2868,886,1038
viernes,16,12,2016,2408,809,904
viernes,30,12,2016,1793,643,565
sabado,31,12,2016,913,404,331
viernes,13,1,2017,2844,1011,1021
jueves,19,1,2017,2974,1025,1177
lunes,23,1,2017,296,1113,1171
martes,31,1,2017,299,1135,1247
miercoles,1,2,2017,3078,121,1293
domingo,19,3,2017,1048,495,528
sabado,25,3,2017,1476,677,697
martes,28,3,2017,3227,1119,1376
viernes,7,4,2017,2925,1047,866
domingo,9,4,2017,1258,566,539
miercoles,19,4,2017,3126,1044,1172
viernes,21,4,2017,3032,1062,901
viernes,28,4,2017,3041,11,816
viernes,12,5,2017,2831,1079,1228
viernes,26,5,2017,311,1092,1156
martes,30,5,2017,3064,1143,1278
sabado,3,6,2017,1533,688,657
domingo,13,8,2017,,552,549
martes,15,8,2017,,1062,1106
sabado,26,8,2017,,595,
lunes,28,8,2017,,723,
domingo,19,11,2017,1293,535,507
martes,19,12,2017,2986,101,1106
viernes,18,12,2015,2151,,
domingo,22,11,2015,912,,
jueves,19,11,2015,2807,,
domingo,17,1,2016,1146,,
sabado,9,1,2016,6911,,
jueves,7,1,2016,2436,,
viernes,30,1,2015,2539,,
lunes,2,3,2015,2677,,
sabado,27,12,2014,1204,,
miercoles,14,1,2015,2737,,
viernes,16,1,2015,2618,,
martes,13,1,2015,2697,,
jueves,15,1,2015,2798,,
sabado,20,2,2016,1249,,
viernes,29,1,2016,2329,,
lunes,29,2,2016,2981,,
martes,15,3,2016,2662,,
sabado,15,11,2014,1241,,
viernes,19,12,2014,2281,,
sabado,29,11,2014,122,,
lunes,15,12,2014,2412,,
jueves,4,12,2014,2412,,
lunes,24,11,2014,2623,,
lunes,28,9,2015,188,,
viernes,28,8,2015,2633,,
miercoles,3,6,2015,2797,,
sabado,13,6,2015,1584,,
viernes,12,6,2015,233,,
jueves,2,7,2015,2153,,
miercoles,29,4,2015,2416,,
viernes,22,5,2015,2196,,
viernes,29,5,2015,2133,,
jueves,14,5,2015,1402,,
miercoles,29,7,2015,2875,,
domingo,9,8,2015,1203,,
lunes,24,8,2015,2558,,
viernes,10,4,2015,2879,,
sabado,21,3,2015,1773,,
viernes,24,4,2015,297,,
jueves,2,4,2015,1382,,
sabado,5,1,2019,1777,616,577
martes,22,1,2019,4119,432,1381
lunes,28,1,2019,3863,737,1372
jueves,31,1,2019,3225,969,1381
jueves,7,2,2019,4212,981,1445
domingo,3,3,2019,1907,577,669
sabado,6,4,2019,2387,677,705
miercoles,17,4,2019,3399,977,1158
lunes,22,4,2019,3457,880,1195
martes,23,4,2019,4026,1118,1309
miercoles,24,7,2019,3599,854,1207
jueves,4,7,2019,3485,676,1180
martes,6,9,2016,3019,843,1003
viernes,9,9,2016,2947,837,938
jueves,29,9,2016,2871,719,829
domingo,16,10,2016,956,541,451
viernes,21,10,2016,2667,872,1043
sabado,17,12,2016,1206,625,577
martes,27,12,2016,2078,660,716
domingo,29,1,2017,1204,595,1172
lunes,6,2,2017,1184,462,505
miercoles,8,2,2017,3174,1164,1336
viernes,10,2,2017,3183,1127,1248
domingo,12,2,2017,1589,514,708
martes,14,3,2017,296,983,1189
sabado,8,4,2017,15,650,568
jueves,20,4,2017,3269,1036,1206
jueves,18,5,2017,3013,1064,1277
miercoles,7,6,2017,2727,994,1227
sabado,10,6,2017,165,719,977
viernes,16,6,2017,3016,102,1298
jueves,29,6,2017,2414,860,1301
martes,4,7,2017,2442,893,3184
sabado,8,7,2017,1199,475,508
lunes,10,7,2017,13676,757,884
lunes,31,7,2017,,992,1022
jueves,31,8,2017,,795,
domingo,10,9,2017,,494,419
lunes,11,9,2017,,1012,1055
martes,12,9,2017,,1093,1167
martes,26,9,2017,,,984
martes,17,10,2017,,,1204
domingo,22,10,2017,,,597
sabado,28,10,2017,,,675
martes,28,11,2017,3267,1134,1271
viernes,22,12,2017,2518,878,840
martes,26,12,2017,7,635,646
miercoles,27,12,2017,,806,747
jueves,28,12,2017,,738,653
martes,2,1,2018,,700,717
domingo,7,1,2018,,559,565
martes,9,1,2018,,1018,1137
martes,16,1,2018,,1084,1165
miercoles,17,1,2018,,1098,1187
viernes,26,1,2018,,101,1018
sabado,17,2,2018,1707,723,742
jueves,19,4,2018,3318,1132,1376
martes,1,5,2018,1533,609,667
martes,8,5,2018,2269,711,1029
viernes,18,5,2018,3028,105,1279
martes,19,6,2018,2735,836,1085
viernes,29,6,2018,2866,898,1045
jueves,19,7,2018,3109,919,1158
domingo,5,8,2018,1057,393,
lunes,20,8,2018,2692,913,
viernes,7,9,2018,3265,988,1209
lunes,10,9,2018,3302,967,1395
miercoles,19,9,2018,2789,988,126
lunes,15,10,2018,3424,1003,1263
sabado,27,10,2018,1866,552,658
lunes,29,10,2018,2929,856,1173
martes,13,11,2018,348,717,1253
sabado,17,11,2018,1961,480,603
martes,20,11,2018,3599,986,1291
miercoles,28,11,2018,3889,934,1183
sabado,8,12,2018,206,603,578
martes,11,12,2018,3521,663,123
viernes,11,7,2014,2445,,
sabado,9,8,2014,1598,,
domingo,10,8,2014,1228,,
domingo,17,8,2014,1289,,
viernes,29,8,2014,2653,,
martes,2,9,2014,1906,,
domingo,7,9,2014,1091,,
miercoles,17,9,2014,2477,,
jueves,18,9,2014,2731,,
sabado,11,10,2014,1298,,
sabado,8,11,2014,1559,,
miercoles,19,11,2014,2591,,
domingo,7,12,2014,939,,
jueves,18,12,2014,2488,,
jueves,22,1,2015,2788,,
domingo,8,2,2015,1629,,
miercoles,11,2,2015,2109,,
jueves,12,3,2015,2654,,
domingo,15,3,2015,801,,
domingo,22,3,2015,1173,,
miercoles,1,4,2015,2055,,
sabado,4,4,2015,1587,,
jueves,23,4,2015,3092,,
sabado,2,5,2015,1149,,
jueves,7,5,2015,2759,,
lunes,11,5,2015,2275,,
lunes,1,6,2015,2563,,
jueves,18,6,2015,2154,,
lunes,20,7,2015,2679,,
jueves,23,7,2015,216,,
viernes,24,7,2015,2207,,
domingo,2,8,2015,1787,,
viernes,14,8,2015,2623,,
viernes,21,8,2015,2219,,
jueves,24,9,2015,2906,,
viernes,6,11,2015,2797,,
jueves,3,12,2015,2362,,
martes,15,12,2015,2781,,
jueves,24,12,2015,1139,,
martes,12,1,2016,2614,,
jueves,18,2,2016,2571,,
miercoles,2,3,2016,3045,,
viernes,4,3,2016,332,,
lunes,7,3,2016,2595,,
jueves,10,3,2016,2143,,
miercoles,4,5,2016,2832,,
jueves,5,5,2016,2727,,
jueves,19,5,2016,2917,,
lunes,13,6,2016,2493,,
viernes,17,6,2016,2695,889,856
lunes,20,6,2016,1868,664,726
domingo,26,6,2016,1746,541,2533
martes,28,6,2016,2824,828,905
viernes,1,7,2016,1675,492,450
jueves,19,12,2013,2165,,
martes,26,11,2013,2761,,
lunes,30,12,2013,1522,,
miercoles,1,1,2014,727,,
lunes,17,2,2014,2476,,
viernes,3,1,2014,1524,,
viernes,21,2,2014,2787,,
viernes,7,3,2014,2577,,
martes,25,3,2014,2655,,
jueves,6,3,2014,2753,,
domingo,29,6,2014,1037,,
viernes,23,5,2014,2137,,
jueves,29,5,2014,2919,,
domingo,20,4,2014,1181,,
lunes,13,5,2019,3564,1029,1360
sabado,25,5,2019,2093,469,683
sabado,12,1,2019,1985,509,770
domingo,27,1,2019,2165,643,841
martes,5,2,2019,4035,767,1421
domingo,17,3,2019,1845,537,592
domingo,31,3,2019,2632,407,875
martes,2,4,2019,4361,804,1502
domingo,28,4,2019,1607,602,700
jueves,13,6,2019,3415,1020,1183
sabado,20,7,2019,2013,541,617
lunes,15,7,2019,3406,808,1110
viernes,2,8,2019,3507,902,1160
sabado,3,8,2019,2066,603,665
miercoles,7,8,2019,3212,732,1065
jueves,8,8,2019,3841,906,1237
martes,20,8,2019,3683,1051,1342
domingo,25,8,2019,2238,634,925
miercoles,28,8,2019,4028,1021,1314
jueves,29,8,2019,3804,917,1275
sabado,31,8,2019,2175,594,661
domingo,1,9,2019,1835,583,667
martes,3,9,2019,4005,1087,1375
sabado,14,9,2019,1758,491,536
lunes,16,9,2019,1145,283,468
viernes,20,9,2019,2976,845,1032
martes,24,9,2019,2833,880,1129
domingo,29,9,2019,1093,434,681
lunes,30,9,2019,2956,843,1039
domingo,2,2,2020,1472,98,498
lunes,3,2,2020,1603,103,586
jueves,6,2,2020,3699,246,1446
sabado,8,2,2020,2286,120,733
domingo,9,2,2020,1869,114,664
martes,11,2,2020,3771,275,1401
domingo,16,2,2020,1695,98,663
viernes,21,2,2020,3882,209,1386
domingo,23,2,2020,1893,112,666
jueves,27,2,2020,3860,276,1477
sabado,29,2,2020,2274,131,698
domingo,1,3,2020,1813,107,634
lunes,2,3,2020,3783,267,1293
miercoles,4,3,2020,3919,331,1374
lunes,9,3,2020,3222,235,1106
martes,10,3,2020,3892,295,1481
jueves,12,3,2020,4005,335,1485
viernes,13,3,2020,3821,264,1414
sabado,21,3,2020,1413,94,546
domingo,22,3,2020,2047,80,702
martes,24,3,2020,1993,159,721
viernes,27,3,2020,1921,130,654
miercoles,1,4,2020,1634,98,531
domingo,5,4,2020,1413,68,541
martes,7,4,2020,1491,77,561
domingo,12,4,2020,1459,61,466
martes,14,4,2020,1408,78,492
miercoles,15,4,2020,1431,78,508
domingo,19,4,2020,1481,64,527
lunes,20,4,2020,1345,69,476
sabado,25,4,2020,1201,58,490
lunes,27,4,2020,1346,66,507
martes,28,4,2020,1253,66,464
sabado,2,5,2020,1419,65,540
martes,5,5,2020,1195,42,461
miercoles,6,5,2020,1054,62,446
jueves,7,5,2020,1162,67,469
lunes,11,5,2020,1060,61,381
miercoles,13,5,2020,1341,70,517
viernes,15,5,2020,1491,85,612
sabado,16,5,2020,1542,63,593
miercoles,20,5,2020,1460,60,563
jueves,21,5,2020,1477,0,572
domingo,24,5,2020,1943,0,721
martes,26,5,2020,1612,75,620
miercoles,27,5,2020,1501,65,535
viernes,29,5,2020,1541,80,730
sabado,30,5,2020,1521,74,628
jueves,4,6,2020,1776,18,584
viernes,5,6,2020,1457,763,635
domingo,7,6,2020,2186,516,692
lunes,8,6,2020,1200,529,504
sabado,13,6,2020,1970,695,652
miercoles,17,6,2020,1842,681,649
jueves,18,6,2020,1948,633,611
viernes,19,6,2020,2029,800,682
sabado,20,6,2020,1535,527,590
domingo,21,6,2020,2106,618,736
martes,23,6,2020,1413,577,532
sabado,27,6,2020,1961,693,700
martes,30,6,2020,1778,741,565
miercoles,8,7,2020,1861,685,627
sabado,1,2,2020,1890,124,648
viernes,7,2,2020,3778,226,1347
sabado,15,2,2020,1939,153,677
lunes,17,2,2020,3575,289,1284
miercoles,19,2,2020,4058,287,1447
jueves,20,2,2020,4003,307,1403
sabado,22,2,2020,2235,187,910
lunes,24,2,2020,3691,272,1335
martes,25,2,2020,3893,310,1437
viernes,28,2,2020,3886,259,1363
jueves,5,3,2020,4076,309,1368
viernes,6,3,2020,3791,251,1353
sabado,7,3,2020,2141,131,725
miercoles,11,3,2020,4059,317,1529
sabado,14,3,2020,1967,125,644
domingo,15,3,2020,1471,82,545
lunes,16,3,2020,1534,93,554
martes,17,3,2020,3057,208,1100
miercoles,18,3,2020,2822,200,1035
jueves,19,3,2020,2515,171,940
viernes,20,3,2020,2486,166,894
miercoles,8,4,2020,1400,79,504
jueves,9,4,2020,1166,59,438
viernes,10,4,2020,1218,76,419
sabado,11,4,2020,1188,56,459
lunes,13,4,2020,1297,70,483
jueves,16,4,2020,1384,83,513
viernes,17,4,2020,1393,93,521
sabado,18,4,2020,1212,82,466
viernes,24,4,2020,1278,71,543
miercoles,29,4,2020,1302,74,482
jueves,30,4,2020,1226,74,557
viernes,1,5,2020,1203,66,498
lunes,4,5,2020,1277,73,486
viernes,8,5,2020,1328,71,542
sabado,9,5,2020,1248,54,486
domingo,10,5,2020,1297,48,485
lunes,18,5,2020,1258,49,493
sabado,23,5,2020,1515,0,602
domingo,31,5,2020,1713,53,695
lunes,1,6,2020,1461,71,530
martes,2,6,2020,1671,75,561
miercoles,3,6,2020,1748,79,606
martes,9,6,2020,1493,653,543
miercoles,10,6,2020,1745,739,609
jueves,11,6,2020,1675,679,587
martes,16,6,2020,1868,721,648
jueves,25,6,2020,1541,685,515
viernes,26,6,2020,1871,690,621
viernes,3,7,2020,1830,742,667
sabado,4,7,2020,1823,679,639
martes,7,7,2020,1804,755,646
martes,4,2,2020,3518,290,1306
miercoles,5,2,2020,3618,326,1299
lunes,10,2,2020,3527,270,1328
miercoles,12,2,2020,3884,270,1416
jueves,13,2,2020,3942,261,1336
viernes,14,2,2020,3366,202,1201
martes,18,2,2020,3880,316,1430
miercoles,26,2,2020,3829,297,1409
martes,3,3,2020,4078,279,1366
domingo,8,3,2020,3071,130,606
lunes,23,3,2020,2064,140,715
miercoles,25,3,2020,2058,117,692
jueves,26,3,2020,1886,139,690
sabado,28,3,2020,1587,79,529
domingo,29,3,2020,1575,68,538
lunes,30,3,2020,1659,104,582
martes,31,3,2020,1694,116,567
jueves,2,4,2020,1531,95,533
viernes,3,4,2020,1391,90,530
sabado,4,4,2020,1192,77,532
lunes,6,4,2020,1386,80,488
martes,21,4,2020,1198,37,436
miercoles,22,4,2020,1213,68,468
jueves,23,4,2020,1339,60,462
domingo,26,4,2020,1440,88,581
domingo,3,5,2020,1543,50,599
martes,12,5,2020,1375,66,523
jueves,14,5,2020,1467,78,576
domingo,17,5,2020,1816,43,648
martes,19,5,2020,1484,57,571
viernes,22,5,2020,1431,0,541
lunes,25,5,2020,1346,64,553
jueves,28,5,2020,1427,73,608
sabado,6,6,2020,1741,657,636
viernes,12,6,2020,1859,718,678
domingo,14,6,2020,2391,558,755
lunes,15,6,2020,1711,659,547
lunes,22,6,2020,1070,502,398
miercoles,24,6,2020,1528,626,522
domingo,28,6,2020,2568,571,818
lunes,29,6,2020,1539,669,521
miercoles,1,7,2020,1780,660,626
jueves,2,7,2020,1938,738,667
domingo,5,7,2020,2471,619,758
lunes,6,7,2020,1623,702,551
jueves,9,7,2020,1597,690,572
